"Product SKU","Product Name","Stock Level"
110BASL300PIN,"SAVAGE 110 BA STEALTH 300 WIN 24 INCH 5 SHOT WITH BRAKE DM LEFT HAND PINNED STOCK - SKU: 110BASL300PIN",0
110FCPHSP,"SAVAGE 110 FCP HSP 338 LAP 26 INCH PICATINNY RAIL BR DM - SKU: 110FCPHSP",0
110FCPS300,"SAVAGE 110 FCP HSP 300 WIN 24 INCH DM - SKU: 110FCPS300",0
110TH270,"SAVAGE 110 TROPHY HUNTER XP 270 WIN 22 INCH PACKAGE DETACHABLE MAG - SKU: 110TH270",0
110TH3006,"SAVAGE 110 TROPHY HUNTER XP 30-06 SPR 22 INCH PACKAGE DETACHABLE MAG - SKU: 110TH3006",0
111DH2506,"SAVAGE 111 DOA HUNTER XP 25-06 22 INCH BUSHNELL TROPHY PACKAGE - SKU: 111DH2506",0
111DH270,"SAVAGE 111 DOA HUNTER XP 270 WIN 22 INCH BUSHNELL TROPHY PACKAGE - SKU: 111DH270",0
111DH3006,"SAVAGE 111 DOA HUNTER XP 30-06 22 INCH BUSHNELL TROPHY PACKAGE - SKU: 111DH3006",0
111DH300WIN,"SAVAGE 111 DOA HUNTER XP 300 WIN 24 INCH BUSHNELL TROPHY PACKAGE - SKU: 111DH300WIN",0
111DH338WIN,"SAVAGE 111 DOA HUNTER XP 338 WIN 24 INCH BUSHNELL TROPHY PACKAGE - SKU: 111DH338WIN",0
111DH65284,"SAVAGE 111 DOA HUNTER XP 6.5 X 284 22 INCH BUSHNELL TROPHY PACKAGE - SKU: 111DH65284",0
111DH7MM,"SAVAGE 111 DOA HUNTER XP 7MM REM 24 INCH BUSHNELL TROPHY PACKAGE - SKU: 111DH7MM",0
111FCNS25,"SAVAGE 111 FCNS 25-06 REM AS 22 INCH 4 SHOT DETACHABLE MAG - SKU: 111FCNS25",0
111FCNS270,"SAVAGE 111 FCNS 270 WIN AS 22 INCH 4 SHOT DETACHABLE MAG - SKU: 111FCNS270",0
111FCNS300,"SAVAGE 111 FCNS 300 WIN AS 24 INCH 3 SHOT DETACHABLE MAG - SKU: 111FCNS300",0
111FCNS306,"SAVAGE 111 FCNS 30-06 SPR AS 22 INCH 4 SHOT DETACHABLE MAG - SKU: 111FCNS306",0
111FCNS7MM,"SAVAGE 111 FCNS 7MM REM AS 24 INCH 3 SHOT DETACHABLE MAG - SKU: 111FCNS7MM",0
