SKU,Stock_Level,Quantity,Equal
1903,0,3,False
1A30850,0,15,False
1B65C,0,3,False
1RSI308S,0,42,False
1S35W,0,1450,False
1S44,0,17540,False
1V243,0,9760,False
2013BRL,0,512,False
212,0,226,False
212C,0,913,False
220,0,800,False
220CS,0,-56,False
25LV17,0,-36,False
25LV204,0,541,False
25LV22,0,56,False
25LV223,0,417,False
25LVT17,0,1,False
25LVT204,0,2,False
25WV17,0,18,False
25WV204,0,-525200,False
25WV22,0,-2960500,False
25WV222,0,73,False
25WV223,0,443,False
25WVC17,0,256,False
25WVC22,0,36,False
25WVC223,0,139,False
32DIN6799,1,44,False
080529400017,0,48,False
42T22LR410,9,24,False
42T22M410,0,6,False
42TC22LR410,6,-10,False
64182672051462,23,0,False
64182672051394,0,4,False
4HL5011,0,-3,False
4HL5012,0,2,False
4HL5015,0,-1,False
4HL5016,0,1965,False
4HL6000,2,71,False
64182673052352,0,39,False
4HL6019,0,52,False
4HL6020,0,7,False
4HL6021,0,6,False
64182673052116,0,8,False
4HL6045,0,9,False
64182673056244,0,12,False
4HL6055,0,5,False
4HL7063,489,202,False
4HL7069,0,157,False
4HL7071,0,113,False
64182673052970,0,182,False
64182673056312,4,304,False
4HL9016,0,164,False
6418267200301,0,430,False
6418267200264,0,12,False
6418267200226,2,26,False
6418267200233,0,8,False
6418267200011,0,2,False
6418267200042,0,6,False
6418267200240,68,1,False
6418267200363,5,15,False
6418267200066,0,1,False
6418267200257,0,4,False
6418267200189,0,2,False
6418267200059,0,2,False
6418267200288,18,5,False
6418267200325,0,2,False
6418267200103,11,14,False
6418267200073,0,19,False
6418267200318,0,8,False
4PH7105,5,15,False
4PH7107,3,15,False
6418267200097,3,5,False
6418267200080,1,23,False
6418267200271,0,18,False
6418267200332,5,53,False
4PH8031,0,16,False
6418267200110,6,2,False
6418267200127,0,3,False
4PL1271,0,30,False
6418267300544,0,67,False
4PL5006,0,86,False
4PL5011,0,30,False
4PL5012,0,24,False
4PL5015,0,-5,False
4PL5016,0,44,False
4PL6010,0,5,False
6418267300223,0,10,False
6418267300957,0,3,False
4PL6020,20,3,False
4PL6021,0,4,False
6418267300209,0,24,False
4PL6033,0,33,False
6418267300155,0,39,False
4PL6046,0,0,True
4PL6050,0,4,False
4PL6055,0,0,True
6418267300797,12,12,True
6418267300407,4,11,False
4PL7045,0,3,False
4PL7047,10,22,False
4PL7057,0,6,False
4PL7060,0,1,False
4PL7061,0,4,False
6418267300988,2,-1,False
6418267300964,189,127,False
6418267300322,0,37,False
6418267300384,0,17,False
6418267300308,0,4,False
4PL7086,0,52,False
6418267300285,0,29,False
6418267300377,1,45,False
4PL7224,0,18,False
4PL7400,0,124,False
4PL7401,0,3,False
6418267300469,7,13,False
6418267300858,0,2,False
6418267300476,0,18,False
6418267300827,0,12,False
034337007012,7,12,False
034337007043,6,1,False
034337007050,4,5,False
034337007074,5,11,False
5091-5,0,6,False
6515-8,2,5,False
6531-1,1,0,False
6531-7,0,2,False
6533-1,1,-2,False
6533-3,1,2,False
6533-5,1,5,False
6680-5,0,95,False
66830AKIT,0,17,False
